title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Kings of Solomon: The Barefoot Emperor - Ethiopian Empire - Part 5 - Extra History,2022-07-30,256516,11168.0,341.0,ZJerzcod8yw,666.0,https://www.youtube.com/watch?v=ZJerzcod8yw,3249,40,Ethiopian Empire
Kings of Solomon - The Battle of Adwa - Ethiopian Empire - Part 6 - Extra History,2022-08-06,277356,11833.0,433.0,HI5A_2DKm_0,743.0,https://www.youtube.com/watch?v=HI5A_2DKm_0,3256,40,Ethiopian Empire
Kings Of Solomon Ethiopia Empire - LIES - Extra History,2022-08-13,58804,1810.0,130.0,2zvWcJvra_g,1698.0,https://www.youtube.com/watch?v=2zvWcJvra_g,3263,40,Ethiopian Empire
Europe: The First Crusade - The People's Crusade - Extra History - Part 1,2015-08-08,4254124,54609.0,3849.0,HIs5B2U7US0,493.0,https://www.youtube.com/watch?v=HIs5B2U7US0,701,85,Europe: The First Crusade
Europe: The First Crusade - Peter the Hermit - Extra History - Part 2,2015-08-15,2734643,36380.0,2565.0,aAodRUPN7lE,531.0,https://www.youtube.com/watch?v=aAodRUPN7lE,708,85,Europe: The First Crusade
Europe: The First Crusade - A Good Crusade? - Extra History - Part 3,2015-08-22,2544468,36141.0,1613.0,pI5_idvxm18,572.0,https://www.youtube.com/watch?v=pI5_idvxm18,715,85,Europe: The First Crusade
Europe: The First Crusade - Men of Iron - Extra History - Part 4,2015-08-29,2355016,33511.0,1207.0,UdzsMEHUBrQ,616.0,https://www.youtube.com/watch?v=UdzsMEHUBrQ,722,85,Europe: The First Crusade
Europe: The First Crusade - Siege of Antioch - Extra History - Part 5,2015-09-05,2165897,29904.0,1011.0,ZvUibFUJFKM,537.0,https://www.youtube.com/watch?v=ZvUibFUJFKM,729,85,Europe: The First Crusade
Europe: The First Crusade - On to Jerusalem - Extra History - Part 6,2015-09-12,2094031,31993.0,2208.0,oyYGLoo3bj0,542.0,https://www.youtube.com/watch?v=oyYGLoo3bj0,736,85,Europe: The First Crusade
Europe: The First Crusade - Lies - Extra History,2015-09-19,686516,10451.0,1057.0,15KhdeIc0EI,1539.0,https://www.youtube.com/watch?v=15KhdeIc0EI,743,85,Europe: The First Crusade
Exploring the Pacific - The Great Ocean - Extra History - Part 1,2020-06-20,685542,25029.0,974.0,Y1suZVUoxCA,529.0,https://www.youtube.com/watch?v=Y1suZVUoxCA,2479,50,Exploring the Pacific
Exploring the Pacific - Wayfinding - Extra History - Part 2,2020-06-27,442110,16641.0,806.0,WIDBE33GeCM,550.0,https://www.youtube.com/watch?v=WIDBE33GeCM,2486,50,Exploring the Pacific
